lag,PACF,ACF
0,1.0,1.0
1,0.2361469606782301,0.23549099689856842
2,0.09144050596238208,0.14131719625074435
3,0.12349155014953728,0.16631530303499695
4,0.09200014807673769,0.15556261208697775
5,0.10611395461304945,0.1712977305506504
6,0.16756928468740542,0.23836653345312225
7,0.07991152733257906,0.1864647982348345
8,0.07431585678372069,0.17225010412686612
9,-0.028312439834727983,0.0919940208804486
10,0.08987504254998582,0.170463424792865
11,-0.010721718725633255,0.11375206102350682
12,-0.12192576259024684,0.003972138748618814
13,-0.06994073377343946,0.01851453129141408
14,-0.01530957131253961,0.05864631631848705
15,0.03306125006172384,0.08135191094313125
16,0.013909744801112497,0.0794594696930581
17,0.009730013908159935,0.05499043065494939
18,-0.04539384394532668,-0.011076861117134995
19,-0.0065744660558961976,-0.0118462812079405
20,0.0036074477229836727,0.00852033141602211
21,0.07791717157714614,0.08348126232741619
22,-0.04932911605211614,-0.012063398632065589
23,-0.10714540410771832,-0.08442735386956088
24,-0.1871900574765312,-0.1588359821142745
25,-0.025621974112453174,-0.055969911638457735
