,AIC,BIC
"0,0",-134.50651353848326,-126.73430547558294
"0,1",-149.81847236017805,-138.16016026582759
"0,2",-150.46227825324894,-134.9178621274483
"0,3",-152.27654642179414,-132.84602626454335
"1,0",-152.99696973029992,-141.33865763594946
"1,1",-170.83749535392812,-155.2930792281275
"1,2",-169.30523557059814,-149.87471541334736
"1,3",-169.7092607331736,-146.39263654447268
"2,0",-153.9667387805323,-138.42232265473166
"2,1",-169.22153143814103,-149.79101128089025
"2,2",-167.9545733427326,-144.63794915403167
"3,0",-157.45586297665375,-138.02534281940297
"3,1",-169.38914123058737,-146.07251704188644
